id,name,province_id
598,Huyện Thủ Thừa,31
599,Thị Xã Thuận An,22
600,Huyện Thuận Bắc,17
601,Huyện Thuận Châu,29
602,Huyện Thuận Nam,17
603,Huyện Thuận Thành,26
604,Huyện Thủy Nguyên,3
605,Huyện Thường Tín,11
606,Huyện Thường Xuân,16
607,Huyện Tiên Du,26
608,Huyện Tiền Hải,59
609,Huyện Tiên Lãng,3
610,Huyện Tiên Lữ,8
611,Huyện Tiên Phước,28
612,Huyện Tiên Yên,10
613,Huyện Tiểu Cần,46
614,Huyện Tĩnh Gia,16
615,Huyện Tịnh Biên,6
616,Huyện Trà Bồng,13
617,Huyện Trà Cú,46
618,Huyện Trà Lĩnh,19
619,Huyện Trà Ôn,37
620,Thành Phố Trà Vinh,46
621,Huyện Trạm Tấu,63
622,Huyện Tràng Định,27
623,Huyện Trảng Bàng,30
624,Huyện Trảng Bom,32
625,Huyện Trấn Yên,63
626,Huyện Trần Đề,52
627,Huyện Trần Văn Thời,41
628,Huyện Tri Tôn,6
629,Huyện Triệu Phong,44
630,Huyện Triệu Sơn,16
631,Huyện Trùng Khánh,19
632,Huyện Trực Ninh,61
633,Huyện Tủa Chùa,57
634,Huyện Tuần Giáo,57
635,Huyện Tu Mơ Rông,56
636,Huyện Tuy An,58
637,Huyện Tuy Đức,54
638,Thành Phố Tuy Hòa,58
639,Huyện Tuy Phong,23
640,Huyện Tuy Phước,5
641,Huyện Tuyên Hóa,12
642,Thành Phố Tuyên Quang,53
643,Huyện Tư Nghĩa,13
644,Huyện Tứ Kỳ,34
645,Thị Xã Từ Sơn,26
646,Huyện Tương Dương,7
647,Huyện U Minh,41
648,Huyện U Minh Thượng,2
649,Thành Phố Uông Bí,10
650,Huyện Ứng Hòa,11
651,Huyện Vạn Ninh,43
652,Huyện Văn Bàn,21
653,Huyện Văn Chấn,63
654,Huyện Văn Giang,8
655,Huyện Văn Lãng,27
656,Huyện Văn Lâm,8
657,Huyện Văn Quan,27
658,Huyện Văn Yên,63
659,Huyện Vân Canh,5
660,Huyện Đảo Vân Đồn,10
661,Huyện Vân Hồ,29
662,Thành Phố Vị Thanh,51
663,Huyện Vị Thủy,51
664,Huyện Vị Xuyên,25
665,Thành Phố Việt Trì,49
666,Huyện Việt Yên,24
667,Thành Phố Vinh,7
668,Huyện Vĩnh Bảo,3
669,Thị Xã Vĩnh Châu,52
670,Huyện Vĩnh Cửu,32
671,Huyện Vĩnh Hưng,31
672,Huyện Vĩnh Linh,44
673,Thành Phố Vĩnh Long,37
674,Huyện Vĩnh Lộc,16
675,Huyện Vĩnh Lợi,18
676,Huyện Vĩnh Thạnh,5
677,Huyện Vĩnh Thạnh,38
678,Huyện Vĩnh Thuận,2
679,Huyện Vĩnh Tường,39
680,Thành Phố Vĩnh Yên,39
681,Huyện Võ Nhai,55
682,Huyện Vũ Quang,45
683,Huyện Vũ Thư,59
684,Huyện Vụ Bản,61
685,Huyện Vũng Liêm,37
686,Thành Phố Vũng Tàu,15
687,Huyện Xín Mần,25
688,Huyện Xuân Lộc,32
689,Huyện Xuân Trường,61
690,Huyện Xuyên Mộc,15
691,Huyện Ý Yên,61
692,Thành Phố Yên Bái,63
693,Huyện Yên Bình,63
694,Huyện Yên Châu,29
695,Huyện Yên Dũng,24
696,Huyện Yên Định,16
697,Huyện Yên Khánh,60
698,Huyện Yên Lạc,39
699,Huyện Yên Lập,49
700,Huyện Yên Minh,25
701,Huyện Yên Mô,60
702,Huyện Yên Mỹ,8
703,Huyện Yên Phong,26
704,Huyện Yên Sơn,53
705,Huyện Yên Thành,7
706,Huyện Yên Thế,24
707,Huyện Yên Thủy,48
