id,name,district_id,province_id
28675,Nguyễn Tư Giản,259,11
28677,Tràng Tiền Plaza,259,11
28678,Ngõ Cấm Chỉ,259,11
28679,Bảo Tàng Lịch Sử,259,11
28680,Triệu Quốc Đạt,259,11
28681,Chợ Đồng Xuân,259,11
28682,Âu Cơ,557,11
28684,Nhà Hát Lớn,259,11
28685,Hoàng Thành,259,11
28686,Vọng Hà,259,11
28687,Dốc Tam Đa,557,11
28688,Dốc La Pho,557,11
28689,Đặng Thai Mai,557,11
28690,Ven Hồ,557,11
28691,Nghĩa Dũng,557,11
28692,Nước Phần Lan,557,11
28693,Nguyễn Hoàng Tôn,557,11
28694,Phú Gia,557,11
28695,Quảng Bá,557,11
28696,Nghi Tàm,557,11
28697,Tam Đa,557,11
28698,Tân Ấp,557,11
28700,Thanh Niên,557,11
28701,Tô Ngọc Vân,557,11
28702,Trấn Vũ,557,11
28703,Trích Sài,557,11
28704,Trúc Bạch,557,11
28705,Vệ Hồ,557,11
28706,Tây Hồ,557,11
28707,Phó Đức Chính,557,11
28709,Từ Hoa Công Chúa,557,11
28710,Nhật Chiêu,557,11
28712,Hồng Hà,557,11
28715,Yên Hoa,557,11
28716,Xóm Chùa,557,11
28718,Nguyễn Khắc Nhu,557,11
28719,Võng Thị,557,11
28720,Hồ Tây,557,11
28721,Lạc Long Quân,557,11
28722,Hồ Trúc Bạch,557,11
28723,Âu Cơ - Nghi Tàm,557,11
28724,Thụy Khuê,557,11
28726,Xuân Đỉnh,557,11
28727,An Dương Vương,557,11
28728,Xuân Diệu,557,11
28729,Vườn Hoa Lý Tự Trọng,557,11
28730,Hoàng Hoa Thám,557,11
28731,Bà Huyện Thanh Quan,15,11
28732,Hồ Quảng Bá,557,11
28733,An Xá,15,11
28734,Cao Bá Quát,15,11
28735,Châu Long,15,11
28736,Cửa Bắc,15,11
28737,Đào Tấn,15,11
28738,Đội Nhân,15,11
28739,Hàng Bún,15,11
28740,Đặng Dung,15,11
28741,Dốc Hòe Nhai,15,11
28742,Hoàng Hoa Thám,15,11
28743,Hàng Đậu,15,11
28744,Giảng Võ,15,11
28745,Đặng Tất,15,11
28746,Chu Văn An,15,11
